age,gender,member,nmovies,verybad,bad,okay,good,verygood
64,M,yes,3,0,0,0,0,1
53,F,yes,5,0,0,0,1,0
29,M,yes,0,0,0,0,1,0
46,F,yes,0,0,0,0,1,0
32,M,yes,6,0,0,0,1,0
14,F,yes,6,0,0,0,1,0
45,F,yes,5,0,1,0,0,0
32,M,yes,2,0,0,0,0,1
39,M,no,1,0,0,0,0,1
23,F,yes,5,0,0,0,1,0
33,M,yes,2,0,0,0,0,1
54,M,no,4,0,1,0,0,0
40,M,yes,5,0,0,1,0,0
32,M,yes,4,0,0,0,0,1
38,M,yes,2,0,0,0,1,0
24,F,yes,3,0,0,0,0,1
73,F,yes,2,0,0,0,0,1
57,F,yes,5,0,1,0,0,0
64,M,yes,4,0,0,0,0,1
64,M,yes,2,0,0,0,1,0
59,M,no,0,0,0,0,0,1
53,F,no,5,1,0,0,0,0
41,F,yes,5,0,1,0,0,0
32,F,yes,5,0,0,0,1,0
45,M,yes,2,0,0,1,0,0
44,M,yes,1,0,0,0,0,1
33,M,yes,6,0,0,1,0,0
19,M,yes,1,0,0,0,0,1
14,M,yes,2,0,0,0,1,0
42,F,yes,7,0,1,0,0,0
52,M,yes,6,0,1,0,0,0
39,M,yes,5,1,0,0,0,0
20,M,no,3,0,0,0,0,1
17,F,no,1,0,0,0,0,1
29,M,yes,3,0,0,1,0,0
14,M,no,3,0,0,0,0,1
31,F,yes,2,0,0,0,0,1
71,M,no,4,0,0,0,0,1
70,M,no,3,0,1,0,0,0
50,M,no,1,0,0,1,0,0
42,F,yes,3,0,0,0,1,0
47,F,yes,5,1,0,0,0,0
59,F,yes,6,0,1,0,0,0
47,M,no,5,0,0,0,0,1
26,M,yes,4,0,0,0,0,1
61,F,yes,0,0,0,0,1,0
37,F,yes,5,0,0,0,0,1
22,F,yes,1,0,0,0,1,0
16,M,yes,3,0,0,0,0,1
53,F,yes,5,1,0,0,0,0
43,M,no,6,0,0,0,0,1
22,F,no,0,0,0,0,0,1
54,M,yes,4,0,0,0,0,1
66,M,yes,3,0,0,0,0,1
18,M,no,2,0,0,0,1,0
27,F,no,2,0,0,0,0,1
19,F,yes,2,0,0,0,0,1
51,M,yes,5,0,0,0,0,1
42,M,no,6,0,0,1,0,0
26,M,yes,5,0,0,0,0,1
50,M,yes,6,1,0,0,0,0
37,M,yes,3,0,1,0,0,0
66,M,no,2,0,0,0,0,1
30,M,no,3,0,0,1,0,0
41,M,no,4,1,0,0,0,0
55,M,yes,1,0,0,1,0,0
38,F,yes,5,1,0,0,0,0
65,M,yes,4,0,0,1,0,0
39,M,yes,5,0,0,0,0,1
21,M,yes,5,0,0,0,1,0
15,M,yes,3,0,0,0,1,0
48,F,yes,5,0,1,0,0,0
16,M,no,5,0,0,0,1,0
49,F,no,3,0,0,0,0,1
43,F,yes,4,0,1,0,0,0
27,F,no,2,0,0,0,1,0
42,M,yes,6,0,0,0,1,0
25,M,yes,0,0,0,0,0,1
17,F,no,2,0,0,0,1,0
34,M,no,0,0,0,0,1,0
67,F,no,1,0,0,0,0,1
32,M,no,6,0,0,0,0,1
24,M,yes,5,0,0,0,1,0
23,F,yes,7,0,0,0,0,1
57,M,no,5,0,1,0,0,0
13,F,yes,2,0,0,0,0,1
22,M,yes,4,0,0,0,0,1
12,M,yes,1,0,0,0,1,0
22,M,yes,4,0,0,0,0,1
59,F,no,0,0,0,0,0,1
22,M,no,2,0,0,0,1,0
67,M,no,5,0,0,1,0,0
41,M,yes,6,0,0,0,0,1
55,F,yes,5,0,1,0,0,0
29,M,yes,5,0,0,0,0,1
29,F,no,6,0,0,0,0,1
37,F,no,5,0,0,0,0,1
71,M,yes,4,0,0,0,0,1
68,F,no,4,0,0,1,0,0
63,F,no,6,0,1,0,0,0
37,M,no,1,0,0,0,1,0
32,M,yes,3,0,0,1,0,0
37,M,yes,4,0,0,0,1,0
53,F,yes,6,1,0,0,0,0
52,M,yes,5,0,0,1,0,0
21,F,no,4,0,0,0,1,0
59,F,no,3,0,0,1,0,0
30,F,no,3,0,0,0,1,0
57,M,yes,3,0,0,0,1,0
62,M,yes,2,0,0,1,0,0
63,M,yes,3,0,1,0,0,0
53,M,yes,1,0,1,0,0,0
66,F,no,0,0,0,0,1,0
36,F,no,2,0,0,1,0,0
41,F,yes,1,0,1,0,0,0
25,M,yes,4,0,0,1,0,0
30,F,yes,2,0,0,1,0,0
35,F,yes,5,0,0,0,0,1
29,F,yes,5,0,0,0,0,1
40,F,yes,1,0,0,0,0,1
39,M,yes,3,0,0,1,0,0
47,F,no,6,0,1,0,0,0
26,F,no,2,0,0,0,1,0
68,M,no,2,0,0,1,0,0
48,F,yes,4,0,0,0,0,1
63,M,yes,5,0,0,1,0,0
72,M,yes,5,1,0,0,0,0
16,M,yes,1,0,0,0,1,0
59,M,no,1,0,0,0,1,0
32,M,no,1,0,0,0,1,0
70,F,no,0,0,0,1,0,0
62,M,yes,1,0,1,0,0,0
41,F,yes,0,0,0,1,0,0
56,F,yes,2,0,0,0,0,1
35,F,yes,0,0,0,1,0,0
57,M,yes,2,0,0,0,1,0
55,M,yes,2,0,0,1,0,0
14,F,yes,1,0,0,0,0,1
38,M,yes,0,0,0,1,0,0
23,F,no,4,0,0,0,1,0
28,F,no,2,0,0,1,0,0
12,F,no,2,0,0,0,1,0
68,F,yes,5,0,1,0,0,0
59,F,no,5,0,0,0,0,1
30,F,no,3,0,0,0,0,1
49,F,no,7,1,0,0,0,0
23,M,yes,3,0,0,0,0,1
20,F,yes,5,0,0,0,0,1
69,M,yes,5,0,0,1,0,0
13,F,no,3,0,0,1,0,0
63,M,yes,4,0,0,0,0,1
41,M,no,5,0,1,0,0,0
69,F,no,2,0,1,0,0,0
62,M,yes,4,0,0,0,1,0
64,M,yes,2,0,0,0,1,0
43,M,no,0,0,0,1,0,0
24,F,yes,2,0,0,0,0,1
54,F,yes,4,1,0,0,0,0
55,F,no,6,0,1,0,0,0
62,F,no,6,0,0,0,0,1
34,F,no,0,0,0,0,1,0
50,M,no,6,0,0,1,0,0
54,M,yes,2,0,0,0,0,1
41,M,yes,2,0,1,0,0,0
59,F,yes,3,0,1,0,0,0
38,M,yes,6,0,1,0,0,0
18,F,yes,4,0,0,0,0,1
66,M,yes,3,0,0,0,1,0
73,M,yes,6,0,1,0,0,0
23,F,no,0,0,0,0,1,0
19,F,yes,2,0,0,0,1,0
36,M,yes,2,0,1,0,0,0
54,M,yes,4,0,0,0,0,1
43,M,no,2,0,1,0,0,0
29,M,no,2,0,0,0,0,1
35,F,no,0,0,0,0,0,1
11,F,yes,5,0,0,0,1,0
71,M,no,0,0,0,0,1,0
14,F,yes,4,0,0,0,1,0
58,F,yes,5,0,0,1,0,0
52,F,yes,7,0,1,0,0,0
56,F,yes,4,1,0,0,0,0
49,M,yes,5,0,0,0,1,0
36,M,yes,6,0,0,0,0,1
39,F,yes,5,0,1,0,0,0
57,F,no,4,0,0,0,0,1
33,F,yes,1,0,0,1,0,0
58,F,no,3,0,1,0,0,0
31,M,no,0,0,0,0,1,0
57,M,yes,6,0,0,1,0,0
13,F,yes,1,0,0,1,0,0
56,F,no,4,1,0,0,0,0
61,F,no,6,0,0,0,1,0
67,F,yes,2,0,1,0,0,0
71,M,yes,6,0,1,0,0,0
65,F,no,2,0,0,0,1,0
27,M,yes,1,0,1,0,0,0
17,F,no,3,0,0,0,1,0
51,F,yes,3,0,0,0,1,0
52,F,yes,7,1,0,0,0,0
73,M,yes,2,0,0,0,1,0
33,M,yes,4,0,0,0,1,0
62,M,yes,6,0,0,1,0,0
63,M,no,5,0,0,0,0,1
39,F,yes,4,0,1,0,0,0
69,F,yes,4,0,1,0,0,0
40,M,yes,4,1,0,0,0,0
44,F,yes,6,1,0,0,0,0
55,M,yes,3,0,1,0,0,0
52,M,no,4,0,1,0,0,0
34,M,no,4,0,0,0,0,1
21,M,yes,4,0,0,0,0,1
36,M,yes,3,0,0,1,0,0
52,F,yes,5,1,0,0,0,0
48,F,yes,3,0,1,0,0,0
30,F,no,5,0,0,0,1,0
31,F,yes,6,0,0,1,0,0
37,M,no,0,0,0,1,0,0
63,M,yes,4,0,0,0,1,0
51,M,yes,2,1,0,0,0,0
64,F,yes,3,0,0,0,0,1
19,F,no,6,0,0,0,0,1
25,F,yes,0,0,0,0,1,0
42,F,no,0,0,0,1,0,0
32,M,yes,1,0,0,0,1,0
28,F,no,5,0,0,1,0,0
23,M,yes,4,0,0,0,0,1
57,M,yes,6,0,0,0,1,0
61,M,no,2,0,0,1,0,0
49,F,no,5,1,0,0,0,0
51,M,yes,7,0,1,0,0,0
18,F,no,3,0,0,0,1,0
52,M,no,5,0,1,0,0,0
61,M,yes,5,0,0,0,1,0
21,F,no,6,0,0,0,1,0
22,M,yes,4,0,0,0,1,0
46,M,no,0,0,0,0,0,1
53,F,yes,3,0,0,1,0,0
20,F,yes,6,0,0,0,0,1
36,F,no,4,0,0,0,0,1
18,M,no,0,0,0,0,0,1
67,M,no,6,0,0,0,1,0
34,M,yes,5,0,0,0,1,0
26,M,yes,1,0,0,1,0,0
49,M,no,5,0,1,0,0,0
72,M,yes,5,0,0,0,1,0
20,F,yes,6,0,0,0,0,1
34,M,yes,4,0,0,1,0,0
38,F,no,7,0,1,0,0,0
62,F,no,6,0,0,1,0,0
36,M,no,2,0,0,0,1,0
60,F,no,2,0,0,0,1,0
11,M,yes,3,0,0,0,1,0
16,M,yes,6,0,0,0,1,0
51,M,no,2,0,0,0,1,0
55,M,yes,1,0,0,0,1,0
63,M,yes,2,0,0,0,0,1
55,F,yes,4,0,1,0,0,0
38,M,yes,1,0,0,0,1,0
39,F,yes,1,0,0,1,0,0
67,M,yes,3,0,0,0,0,1
13,M,no,5,0,0,0,1,0
54,M,yes,5,0,0,0,1,0
29,M,no,6,0,0,0,1,0
60,M,yes,0,0,1,0,0,0
36,F,yes,4,0,0,0,0,1
63,M,no,3,0,1,0,0,0
73,F,yes,4,0,1,0,0,0
13,F,yes,1,0,0,0,1,0
72,F,yes,3,1,0,0,0,0
48,M,yes,6,0,1,0,0,0
14,F,yes,0,0,0,0,0,1
67,M,yes,0,0,0,1,0,0
29,M,no,4,0,0,0,1,0
18,F,yes,2,0,0,0,1,0
39,M,yes,4,0,0,0,1,0
52,M,yes,5,0,0,1,0,0
34,F,yes,5,0,1,0,0,0
17,M,no,6,0,0,0,1,0
21,F,yes,5,0,0,0,0,1
55,F,no,0,0,0,1,0,0
27,F,yes,0,0,0,0,0,1
63,M,yes,0,0,1,0,0,0
66,F,yes,2,0,0,1,0,0
53,M,yes,2,0,0,0,1,0
47,F,yes,2,0,0,0,1,0
34,F,yes,0,0,0,0,0,1
11,M,yes,0,0,0,0,1,0
16,M,yes,5,0,0,0,1,0
16,M,no,6,0,0,0,1,0
69,M,yes,6,0,0,1,0,0
67,M,no,3,0,0,0,0,1
23,M,yes,4,0,0,0,0,1
16,F,yes,1,0,0,0,1,0
28,M,no,2,0,0,0,1,0
52,M,yes,2,0,0,0,1,0
36,M,no,3,0,0,1,0,0
62,M,yes,1,0,0,0,1,0
31,M,yes,4,0,0,0,1,0
12,F,yes,3,0,0,0,1,0
22,M,no,4,0,0,0,0,1
72,M,yes,6,0,0,1,0,0
13,F,no,4,0,0,0,1,0
33,M,yes,6,0,0,0,1,0
70,F,yes,3,1,0,0,0,0
46,M,no,1,0,0,1,0,0
40,F,yes,4,0,0,0,1,0
15,M,yes,4,0,0,0,1,0
66,F,yes,0,0,0,1,0,0
45,M,yes,4,1,0,0,0,0
62,M,yes,5,0,0,0,0,1
23,F,yes,6,0,0,0,1,0
49,M,yes,7,0,1,0,0,0
66,M,no,4,0,1,0,0,0
20,M,yes,0,0,0,0,1,0
43,M,no,6,0,1,0,0,0
32,M,yes,5,0,0,0,0,1
27,M,yes,1,0,0,0,1,0
68,M,no,3,0,0,1,0,0
53,M,yes,5,0,1,0,0,0
16,M,yes,3,0,0,0,0,1
70,F,no,5,1,0,0,0,0
30,M,no,6,0,0,1,0,0
39,F,yes,3,0,0,0,1,0
71,F,yes,3,0,0,0,1,0
14,M,yes,0,0,0,0,1,0
18,M,yes,4,0,0,0,0,1
23,F,yes,2,0,0,0,1,0
51,M,yes,6,0,0,0,0,1
34,M,yes,6,0,0,0,1,0
49,F,no,6,0,1,0,0,0
48,F,no,5,1,0,0,0,0
61,M,no,3,0,0,1,0,0
55,F,yes,5,0,1,0,0,0
54,M,yes,4,1,0,0,0,0
50,F,yes,4,0,0,0,1,0
45,F,no,6,1,0,0,0,0
45,M,yes,2,0,0,0,1,0
37,F,yes,0,0,1,0,0,0
39,M,no,2,0,0,0,0,1
33,F,yes,5,0,0,0,0,1
25,M,no,4,0,0,0,0,1
44,M,yes,0,0,0,0,0,1
18,F,yes,6,0,0,0,0,1
32,M,yes,2,0,1,0,0,0
73,M,yes,2,0,0,0,0,1
40,F,yes,6,1,0,0,0,0
50,M,yes,4,1,0,0,0,0
73,F,yes,5,1,0,0,0,0
21,M,yes,4,0,0,0,1,0
28,M,yes,3,0,0,0,1,0
19,M,yes,5,0,0,0,0,1
51,M,yes,1,0,0,0,1,0
29,M,yes,4,0,0,1,0,0
35,M,yes,5,0,0,0,1,0
62,M,yes,2,0,0,1,0,0
45,M,no,3,0,0,0,0,1
51,F,yes,2,0,0,0,1,0
32,M,no,6,0,0,0,1,0
38,F,yes,0,0,0,0,0,1
46,M,yes,4,0,0,0,0,1
55,F,yes,4,1,0,0,0,0
56,M,yes,5,0,0,0,0,1
18,F,yes,5,0,0,0,0,1
72,F,yes,1,0,1,0,0,0
43,M,yes,0,0,0,1,0,0
66,F,no,6,0,0,1,0,0
51,M,yes,7,0,1,0,0,0
44,M,no,2,0,0,0,0,1
46,M,yes,1,0,0,0,0,1
11,M,yes,1,0,0,0,1,0
63,F,yes,3,0,0,1,0,0
32,F,yes,0,0,1,0,0,0
34,M,no,1,0,0,0,0,1
72,M,yes,2,0,0,1,0,0
52,M,yes,1,0,0,0,1,0
59,M,yes,3,0,0,0,1,0
21,M,yes,7,0,0,0,0,1
22,F,yes,7,0,0,0,0,1
45,M,yes,2,0,0,1,0,0
54,M,yes,3,0,1,0,0,0
